,SerialNo.,Track.Name,Artist.Name,Genre,Energy,Length.,Popularity
0,1,Señorita,Shawn Mendes,canadian pop,55,191,79
1,2,China,Anuel AA,reggaeton flow,81,302,92
2,3,boyfriend (with Social House),Ariana Grande,dance pop,80,186,85
3,4,Beautiful People (feat. Khalid),Ed Sheeran,pop,65,198,86
4,5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,65,175,94
5,6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,68,220,84
6,7,Ransom,Lil Tecca,trap music,64,131,92
7,8,How Do You Sleep?,Sam Smith,pop,68,202,90
8,9,Old Town Road - Remix,Lil Nas X,country rap,62,157,87
9,10,bad guy,Billie Eilish,electropop,43,194,95
10,11,Callaita,Bad Bunny,reggaeton,62,251,93
11,12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,71,185,86
12,13,Someone You Loved,Lewis Capaldi,pop,41,182,88
13,14,Otro Trago - Remix,Sech,panamanian pop,79,288,87
14,15,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,50,205,92
15,16,No Guidance (feat. Drake),Chris Brown,dance pop,45,261,82
16,17,LA CANCIÓN,J Balvin,latin,65,243,90
17,18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,48,158,91
18,19,Lalala,Y2K,canadian hip hop,39,161,88
19,20,Truth Hurts,Lizzo,escape room,62,173,91
20,21,Piece Of Your Heart,MEDUZA,pop house,74,153,91
21,22,Panini,Lil Nas X,country rap,59,115,91
22,23,No Me Conoce - Remix,Jhay Cortez,reggaeton flow,79,309,83
23,24,Soltera - Remix,Lunay,latin,78,266,91
24,25,bad guy (with Justin Bieber),Billie Eilish,electropop,45,195,89
25,26,If I Can't Have You,Shawn Mendes,canadian pop,82,191,70
26,27,Dance Monkey,Tones and I,australian pop,59,210,83
27,28,It's You,Ali Gatie,canadian hip hop,46,213,89
28,29,Con Calma,Daddy Yankee,latin,86,193,91
29,30,QUE PRETENDES,J Balvin,latin,79,222,89
30,31,Takeaway,The Chainsmokers,edm,51,210,84
31,32,7 rings,Ariana Grande,dance pop,32,179,89
32,33,0.958333333,Maluma,reggaeton,71,176,89
33,34,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop,59,200,89
34,35,Never Really Over,Katy Perry,dance pop,88,224,89
35,36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room,72,164,89
36,37,Otro Trago,Sech,panamanian pop,70,226,91
37,38,Antisocial (with Travis Scott),Ed Sheeran,pop,82,162,87
38,39,Sucker,Jonas Brothers,boy band,73,181,80
39,40,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop,56,199,78
40,41,Higher Love,Kygo,edm,68,228,88
41,42,You Need To Calm Down,Taylor Swift,dance pop,68,171,90
42,43,Shallow,Lady Gaga,dance pop,39,216,87
43,44,Talk,Khalid,pop,40,198,84
44,45,Con Altura,ROSALÍA,r&b en espanol,69,162,88
45,46,One Thing Right,Marshmello,brostep,62,182,88
46,47,Te Robaré,Nicky Jam,latin,75,202,88
47,48,Happier,Marshmello,brostep,79,214,88
48,49,Call You Mine,The Chainsmokers,edm,70,218,88
49,50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,79,206,82
